0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:29 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:29 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:41 +0700] "GET /CrmWeb/status/add HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:41 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:44 +0700] "POST /CrmWeb/status/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:44 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7961
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:44 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:48 +0700] "GET /CrmWeb/status/edit?id=7 HTTP/1.1" 200 5891
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:48 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:50 +0700] "POST /CrmWeb/status/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:50 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:50 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:54 +0700] "GET /CrmWeb/status/delete?id=7 HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:54 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:56 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:56 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:57 +0700] "GET /CrmWeb/project HTTP/1.1" 200 6937
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:57 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:00 +0700] "GET /CrmWeb/project/add HTTP/1.1" 200 6221
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:00 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:22 +0700] "POST /CrmWeb/project/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:23 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:23 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
